,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
2,Tahbu Night Club,,,40.86130513100488,-73.91314201419885,1407,Eastchester,Nightclub,,"[{'label': 'display', 'lat': 40.86130513100488, 'lng': -73.91314201419885}]",10468,US,Bronx,NY,United States,"['Bronx, NY 10468', 'United States']",,
3,Rhumba Night Club,,,40.847497,-73.90146999999999,1561,Fieldston,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
4,Zoodo night club,,,40.843545,-73.917328,2621,Riverdale,Nightclub,1518 Macombs Rd,"[{'label': 'display', 'lat': 40.843545, 'lng': -73.917328}, {'label': 'entrance', 'lat': 40.843506, 'lng': -73.917436}]",10452,US,Bronx,NY,United States,"['1518 Macombs Rd (172 street)', 'Bronx, NY 10452', 'United States']",172 street,
5,Ballers Night Club,,,40.841407000000004,-73.917259,2798,Kingsbridge,Nightlife Spot,1465 Jerome Ave,"[{'label': 'display', 'lat': 40.841407000000004, 'lng': -73.917259}, {'label': 'entrance', 'lat': 40.841343, 'lng': -73.917102}]",10452,US,Bronx,NY,United States,"['1465 Jerome Ave', 'Bronx, NY 10452', 'United States']",,
6,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,3053,Marble Hill,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
7,Le Trou Night Club,,,40.838348,-73.92006,3211,Woodlawn,Lounge,,"[{'label': 'display', 'lat': 40.838348, 'lng': -73.92006}]",,US,,New York,United States,"['New York', 'United States']",,
0,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,1232,Wakefield,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
1,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,989,Co-op City,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
2,Rhumba Night Club,,,40.847497,-73.90146999999999,1303,Eastchester,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
3,Rincon Lation Night Club,,,40.82339096069336,-73.89737701416016,2308,Fieldston,Nightclub,1005 Intervale Ave,"[{'label': 'entrance', 'lat': 40.823399, 'lng': -73.897046}, {'label': 'display', 'lat': 40.82339096069336, 'lng': -73.89737701416016}]",10459,US,Bronx,NY,United States,"['1005 Intervale Ave', 'Bronx, NY 10459', 'United States']",,
4,Ballers Night Club,,,40.841407000000004,-73.917259,2522,Riverdale,Nightlife Spot,1465 Jerome Ave,"[{'label': 'display', 'lat': 40.841407000000004, 'lng': -73.917259}, {'label': 'entrance', 'lat': 40.841343, 'lng': -73.917102}]",10452,US,Bronx,NY,United States,"['1465 Jerome Ave', 'Bronx, NY 10452', 'United States']",,
5,Zoodo night club,,,40.843545,-73.917328,2525,Kingsbridge,Nightclub,1518 Macombs Rd,"[{'label': 'display', 'lat': 40.843545, 'lng': -73.917328}, {'label': 'entrance', 'lat': 40.843506, 'lng': -73.917436}]",10452,US,Bronx,NY,United States,"['1518 Macombs Rd (172 street)', 'Bronx, NY 10452', 'United States']",172 street,
6,Le Trou Night Club,,,40.838348,-73.92006,2796,Marble Hill,Lounge,,"[{'label': 'display', 'lat': 40.838348, 'lng': -73.92006}]",,US,,New York,United States,"['New York', 'United States']",,
7,Tahbu Night Club,,,40.86130513100488,-73.91314201419885,3000,Woodlawn,Nightclub,,"[{'label': 'display', 'lat': 40.86130513100488, 'lng': -73.91314201419885}]",10468,US,Bronx,NY,United States,"['Bronx, NY 10468', 'United States']",,
0,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,2115,Wakefield,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
1,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,230,Co-op City,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
2,Rhumba Night Club,,,40.847497,-73.90146999999999,2188,Eastchester,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
3,Rincon Lation Night Club,,,40.82339096069336,-73.89737701416016,2437,Fieldston,Nightclub,1005 Intervale Ave,"[{'label': 'entrance', 'lat': 40.823399, 'lng': -73.897046}, {'label': 'display', 'lat': 40.82339096069336, 'lng': -73.89737701416016}]",10459,US,Bronx,NY,United States,"['1005 Intervale Ave', 'Bronx, NY 10459', 'United States']",,
4,Ballers Night Club,,,40.841407000000004,-73.917259,3334,Riverdale,Nightlife Spot,1465 Jerome Ave,"[{'label': 'display', 'lat': 40.841407000000004, 'lng': -73.917259}, {'label': 'entrance', 'lat': 40.841343, 'lng': -73.917102}]",10452,US,Bronx,NY,United States,"['1465 Jerome Ave', 'Bronx, NY 10452', 'United States']",,
